,,UTCI,,IDEAM CI,,DISTORTION,SILHOUETTE CF
n clusters,,abs dev,SD,abs dev,SD,,
,1,2.94,1.64,1.52,0.49,0.02,0.4
,2,1.67,1.86,0.71,0.88,0.01,0.24
,3,2.38,3.03,2.07,2.51,0.03,0.34
,4,1.54,1.87,1.44,1.68,0.02,0.34
,5,3.17,4.14,1.5,2.77,0.04,0.19
,6,1.11,1.28,0.55,0.51,0.01,0.33
,7,3.21,3.78,3.81,3.6,0.05,0.35
,8,1.83,1.6,1.04,0.62,0.01,0.25
,9,2.21,2.76,1.76,2.98,0.03,0.17
,10,3.28,3.17,1.19,1.14,0.02,0.45
,11,2.37,2.31,1.4,0.9,0.02,0.25
,12,1.64,1.75,0.7,0.92,0.01,0.37
,13,1.61,1.57,0.91,0.63,0.01,0.23
,14,2.52,2.13,1.1,0.81,0.02,0.3
,means:2.26,2.38,1.37,1.47,0.02,0.3
13
,0,2.35,2.64,0.86,1.51,0.01,0.35
,1,2.94,1.66,1.51,0.48,0.02,0.42
,2,1.73,1.67,0.83,0.56,0.01,0.25
,3,2.42,3.11,2.08,2.55,0.03,0.34
,4,1.56,1.91,1.46,1.7,0.02,0.35
,5,3.29,4.3,1.43,2.71,0.04,0.19
,6,1.08,1.22,0.55,0.48,0.01,0.33
,7,3.27,3.84,3.86,3.59,0.05,0.36
,8,2.55,1.85,1.39,0.64,0.02,0.24
,9,2.46,3.05,1.85,3.06,0.03,0.16
,10,3.31,3.19,1.2,1.15,0.02,0.44
,11,2.16,2.08,1.3,0.85,0.02,0.23
,12,1.65,1.75,0.7,0.86,0.01,0.37
,13,1.62,1.56,0.91,0.64,0.01,0.24
,14,2.36,2,1.03,0.66,0.01,0.32
,15,1.62,1.93,0.65,1.07,0.01,0.16
,means:2.27,2.36,1.35,1.41,0.02,0.3
14
,0,2.4,2.7,0.86,1.46,0.01,0.35
,1,2.95,1.67,1.5,0.48,0.02,0.41
,2,1.66,1.85,0.73,0.84,0.01,0.24
,3,2.43,3.11,2.08,2.56,0.03,0.34
,4,1.55,1.89,1.46,1.68,0.02,0.36
,5,3.25,4.26,1.43,2.75,0.04,0.19
,6,1.05,1.11,0.54,0.49,0.01,0.34
,7,3.26,3.82,3.84,3.58,0.05,0.35
,8,1.85,1.66,1,0.63,0.01,0.29
,9,2.45,3.05,1.81,2.92,0.03,0.15
,10,3.39,3.26,1.22,1.18,0.02,0.44
,11,2.38,2.3,1.37,0.94,0.02,0.25
,12,1.68,1.8,0.7,1.05,0.01,0.34
,13,1.59,1.51,0.9,0.63,0.01,0.26
,14,2.31,1.97,1.02,0.65,0.01,0.32
,15,1.43,1.66,0.65,0.84,0.01,0.19
,16,2.6,1.85,1.42,0.66,0.02,0.25
,means:2.25,2.32,1.33,1.37,0.02,0.3
15
,0,2.38,2.67,0.86,1.54,0.01,0.34
,1,2.76,1.14,1.53,0.31,0.01,0.43
,2,1.76,1.78,0.76,0.62,0.01,0.21
,3,2.43,3.11,2.08,2.56,0.03,0.34
,4,1.56,1.91,1.46,1.69,0.02,0.36
,5,3.26,4.27,1.44,2.75,0.04,0.19
,6,1.05,1.17,0.54,0.48,0.01,0.31
,7,3.26,3.82,3.84,3.58,0.05,0.35
,8,1.85,1.54,1.1,0.57,0.01,0.24
,9,2.42,3,1.82,2.92,0.03,0.16
,10,3.27,3.17,1.18,1.14,0.02,0.44
,11,2.45,2.39,1.35,1,0.01,0.22
,12,1.59,1.7,0.67,0.87,0.01,0.36
,13,1.56,1.55,0.87,0.62,0.01,0.22
,14,2.15,1.86,0.94,0.62,0.01,0.27
,15,1.65,2,0.63,1.16,0.01,0.15
,16,2.42,1.67,1.58,0.49,0.02,0.34
,17,3.1,2.49,1.37,0.79,0.01,0.13
,means:2.27,2.29,1.34,1.32,0.02,0.28
16
,0,2.27,2.53,0.84,1.42,0.01,0.35
,1,2.76,1.13,1.53,0.31,0.01,0.42
,2,1.74,1.74,0.75,0.56,0.01,0.22
,3,2.61,3.18,1.9,3.12,0.02,0.27
,4,1.6,1.98,1.46,1.73,0.02,0.34
,5,3.05,4.13,1.37,2.51,0.03,0.19
,6,1.05,1.18,0.54,0.48,0.01,0.31
,7,3.33,3.96,4.09,3.36,0.04,0.32
,8,1.84,1.54,1.1,0.58,0.01,0.24
,9,2.05,2.46,1.74,2.51,0.03,0.2
,10,3.32,3.2,1.2,1.16,0.02,0.45
,11,2.46,2.4,1.36,1,0.02,0.22
,12,1.59,1.69,0.67,0.88,0.01,0.35
,13,1.57,1.56,0.87,0.62,0.01,0.21
,14,2.17,1.9,0.95,0.65,0.01,0.27
,15,1.66,2.01,0.63,1.15,0.01,0.14
,16,2.4,1.6,1.55,0.47,0.02,0.31
,17,3.04,2.39,1.36,0.77,0.01,0.13
,18,2.03,2.45,2.14,2.36,0.02,0.34
,means:2.24,2.26,1.37,1.35,0.02,0.28
17
,0,2.23,2.47,0.83,1.41,0.01,0.34
,1,2.76,1.14,1.53,0.31,0.01,0.43
,2,1.73,1.73,0.74,0.55,0.01,0.21
,3,2.61,3.14,1.9,3.21,0.02,0.28
