24.8,0.1,83.7,0.311705726042798,0.170405519441808,0.474391542551077
25.1,1.34,83.1,0.304707742731625,0.163961621983523,0.445418229171927
25.5,1.54,82.4,0.310723000957502,0.163586410961788,0.432479174099539
25.9,1.28,82.6,0.312062145959586,0.16060016682701,0.427834966497113
25.3,0.77,84,0.300716429023761,0.160073496105945,0.451312230430597
25.1,0.09,85.9,0.282819290161207,0.152183561623186,0.468657350247842
24.8,0.66,82.7,0.317435463627207,0.173537893433559,0.464086350651796
25.3,0.01,85.5,0.289381729092259,0.154039954635539,0.465048156908143
24.7,0.69,81.9,0.32636991900573,0.179349531615369,0.465414383415772
25.5,1.5,84.8,0.28243614844826,0.148694225107722,0.434322993767082
24.9,1.34,87.9,0.241304882898313,0.131229945899654,0.452253832096347
25.1,1.46,85.3,0.276171642152009,0.148606497449521,0.444334926860032
24.9,0.39,81.3,0.337238878068839,0.183402172358374,0.465809766925246
25.2,0.77,80.8,0.338342077232155,0.181083038000066,0.452043121154705
25.5,1,80.2,0.342209641801802,0.18016319012873,0.440833291481043
25.8,1.04,80,0.344143857498673,0.178135293837033,0.433043066867831
25.1,0.57,82.2,0.324749939563836,0.174746221912829,0.458522218037585
25,0.1,83,0.320648414442296,0.173461338005912,0.469357846246366
24.6,0.34,79.5,0.357627513269199,0.197538569295056,0.472619305663612
25.3,0.17,82.8,0.322573894950521,0.171708380831969,0.460980360349697
24.8,0.56,78.2,0.36862597543149,0.201523089166868,0.463545305167773
25.8,1.37,81.8,0.319988544061774,0.165632052058777,0.428254194674694
25.3,1.11,85.2,0.281537995019111,0.149864679145303,0.445968938786058
25.4,1.19,82.9,0.309185949890674,0.163681478746676,0.441153143716082
25,0.35,83.3,0.314022046544095,0.169876668349146,0.4652084760547
25.3,1.02,82.8,0.312353744880179,0.166268122187644,0.446375060491268
25.6,1.26,82.2,0.316649712883052,0.165776501642627,0.434986281246223
26,1.13,81.8,0.323259100330392,0.165395796041661,0.427643336878215
25.4,0.67,82.9,0.315496517741654,0.167022261463177,0.450157197254342
25.2,0.03,85.4,0.290457043354419,0.155454634107024,0.467049180413759
24.9,0.38,81.9,0.330407877994071,0.179687238124614,0.46629073623008
25.5,0.01,85.1,0.295021791182769,0.155320191380709,0.460028265993532
24.9,0.85,80.9,0.33588293337857,0.182664762712081,0.457549400212939
25.9,1.44,84,0.293417752008076,0.151004985810121,0.425744414971738
25.4,1.25,87.2,0.252807386076714,0.133834952091937,0.442171033957534
25.5,1.35,84.8,0.284153101335287,0.149598149695582,0.436963279446333
22.4,0.78,82.3,0.318338996461671,0.194859588260961,0.513217294772002
22.4,0.64,82.7,0.315339106180186,0.193023315006426,0.516195535624274
22.7,0.74,82.3,0.319124042416467,0.192821368159907,0.507849071346362
23,0.85,82.2,0.31923089589572,0.190342505959441,0.499445808121063
22.8,0.31,82.5,0.322058579927424,0.193741878689055,0.514152182641806
22.9,0.03,81.6,0.33615881924059,0.201331455688421,0.516816512500283
22.7,0.01,75.4,0.402108631756073,0.242962378945202,0.517883828827058
23.5,0.08,79.4,0.360936936010245,0.210353989049576,0.501707145213239
22.8,0.72,76,0.385994293701168,0.23220390415238,0.502656772159758
23.4,1.19,83.7,0.297766985362713,0.174345132097717,0.485359021368738
23,1.03,87.2,0.253143787709137,0.150937843235455,0.498676475491204
23,1.07,84.7,0.286407187712861,0.17077125846826,0.496541892856683
24.9,0.71,82.5,0.319301741361201,0.173647336685488,0.460825288630919
25.3,0.8,81.2,0.333577583700371,0.177565722693764,0.449410587741596
25.5,0.99,81.2,0.331332575196679,0.17443673833005,0.441491273807589
25.8,0.98,80.9,0.335109839750941,0.173459117374905,0.43449056040136
25.2,0.48,82.9,0.317577532278646,0.169969708810773,0.45810113613665
