rh,ws,at,vp,t,vpt
78.00,2.58,29.31,26.70,26.30,35.11
82.00,6.08,26.69,27.40,25.90,34.94
88.50,9.32,24.98,29.40,25.80,35.50
84.40,9.51,24.25,27.90,25.70,34.91
85.40,8.40,25.76,28.90,26.10,35.64
84.60,9.36,23.76,27.30,25.30,34.31
82.90,5.28,27.81,28.20,26.20,35.51
84.70,3.43,28.54,28.00,25.70,34.94
82.20,0.45,30.96,27.80,26.10,35.27
80.60,6.86,25.84,26.80,25.80,34.64
77.70,10.73,23.57,26.60,26.30,35.08
78.40,7.35,26.17,27.00,26.40,35.31
78.30,1.83,30.63,27.60,26.80,35.91
82.60,6.58,27.33,28.60,26.50,35.94
88.00,9.72,25.60,30.30,26.40,36.40
84.10,10.06,24.76,28.80,26.30,35.80
85.60,8.68,26.52,30.00,26.70,36.60
84.90,9.53,24.60,28.40,25.90,35.27
84.40,5.67,28.33,29.40,26.60,36.30
85.90,4.08,29.15,29.40,26.30,36.00
81.90,0.31,31.95,28.70,26.70,36.17
75.50,6.53,26.11,25.70,26.20,34.68
73.50,10.63,23.91,25.90,26.80,35.35
74.00,6.91,27.17,26.70,27.20,36.01
74.20,1.02,31.93,27.40,27.60,36.64
81.20,7.07,27.92,29.30,27.20,36.87
85.50,10.03,26.04,30.50,27.00,37.07
80.20,10.44,25.13,28.60,27.00,36.44
81.70,8.80,27.24,30.00,27.50,37.40
83.10,9.65,25.08,28.60,26.40,35.84
83.80,5.96,28.70,29.90,27.00,36.87
84.50,4.62,29.23,29.60,26.70,36.47
80.20,0.89,31.35,28.10,26.70,35.97
78.70,0.42,29.39,25.40,25.30,33.68
79.50,0.03,29.30,25.20,25.00,33.32
82.40,0.33,29.38,26.10,25.00,33.61
82.70,0.60,29.23,26.20,25.00,33.65
83.20,0.20,29.11,25.90,24.70,33.25
82.30,0.87,28.24,25.30,24.50,32.85
79.60,1.59,26.14,23.20,23.60,31.26
82.50,1.39,28.51,26.00,24.90,33.48
78.20,2.00,27.49,24.50,24.80,32.89
79.90,1.79,29.92,27.20,26.20,35.18
83.50,1.26,30.23,27.90,25.90,35.11
82.50,1.58,29.44,27.10,25.60,34.54
80.00,0.63,28.48,24.90,24.70,32.92
80.00,0.18,28.49,24.60,24.50,32.62
82.90,0.34,28.68,25.50,24.50,32.92
83.10,0.43,28.78,25.70,24.60,33.08
84.10,0.24,28.41,25.40,24.20,32.58
83.40,0.78,27.67,24.90,24.00,32.22
81.00,1.32,25.73,22.90,23.10,30.66
83.60,1.22,27.83,25.40,24.30,32.68
79.40,1.70,26.93,24.00,24.20,32.12
81.80,1.23,29.45,26.70,25.50,34.31
85.40,1.09,29.48,27.40,25.20,34.24
83.90,1.31,28.86,26.60,25.00,33.78
83.10,0.85,21.54,19.20,19.80,26.14
81.80,0.43,21.74,18.90,19.80,26.04
84.80,0.34,22.03,19.60,19.80,26.27
85.50,0.30,22.39,20.00,20.00,26.60
85.70,0.30,22.12,19.80,19.80,26.33
84.90,0.74,21.62,19.50,19.70,26.14
81.00,1.13,19.95,17.70,18.90,24.74
84.70,1.10,21.76,19.80,20.00,26.53
79.20,1.47,20.81,18.30,19.80,25.84
84.40,0.76,23.40,21.00,21.00,27.93
90.10,0.96,22.86,21.60,20.40,27.53
86.30,1.12,22.45,20.70,20.40,27.23
80.30,1.11,21.56,18.90,20.10,26.34
79.00,0.70,21.75,18.60,20.10,26.24
81.50,0.43,22.27,19.30,20.20,26.57
81.70,0.29,22.80,19.70,20.50,27.00
82.80,0.38,22.40,19.60,20.20,26.67
82.00,0.86,21.87,19.30,20.10,26.47
78.10,1.30,20.17,17.50,19.30,25.08
79.70,1.25,21.83,19.10,20.40,26.70
74.80,1.56,20.82,17.60,20.10,25.91
80.40,0.62,23.73,20.50,21.40,28.17
86.80,1.03,22.98,21.20,20.70,27.70
85.00,1.22,22.41,20.50,20.50,27.27
81.50,1.20,18.04,16.30,17.50,22.88
80.50,0.82,18.24,16.10,17.50,22.81
81.50,0.53,18.77,16.50,17.70,23.15
81.90,0.33,19.35,16.90,18.00,23.58
82.90,0.37,19.25,17.00,17.90,23.51
82.90,0.97,18.70,16.90,17.80,23.38
76.40,1.40,17.04,14.90,17.10,22.02
78.50,1.37,18.52,16.30,18.10,23.48
74.00,1.71,17.32,14.90,17.60,22.52
83.00,0.62,20.17,17.90,18.70,24.61
89.00,1.08,19.58,18.60,18.20,24.34
86.70,1.29,19.00,17.90,18.00,23.91
83.60,1.55,13.97,13.80,14.50,19.05
81.30,1.27,14.30,13.60,14.70,19.19
83.10,0.91,14.65,13.90,14.70,19.29
83.30,0.56,15.43,14.30,15.10,19.82
84.40,0.32,15.53,14.40,15.00,19.75
86.20,1.09,15.09,14.70,15.00,19.85
77.80,1.49,13.32,12.60,14.20,18.36
81.60,1.49,14.68,14.00,15.10,19.72
75.80,1.91,13.42,12.60,14.60,18.76
88.00,0.67,16.15,15.50,15.50,20.62
92.60,1.29,15.58,16.00,15.20,20.48
89.10,1.57,14.92,15.20,15.00,20.02
83.70,1.88,11.44,12.30,12.70,16.76
82.00,1.82,11.65,12.20,12.90,16.93
82.80,1.38,12.13,12.40,13.00,17.09
82.70,0.89,13.10,12.80,13.50,17.72
84.50,0.23,13.40,12.90,13.30,17.56
89.00,1.22,12.93,13.60,13.30,17.79
78.10,1.50,11.31,11.40,12.60,16.36
84.50,1.58,12.45,12.90,13.30,17.56
77.80,2.17,11.08,11.50,12.80,16.60
91.80,0.79,13.77,14.30,13.60,18.32
95.00,1.51,13.16,14.60,13.40,18.22
90.30,1.90,12.39,13.70,13.20,17.72
83.70,1.99,14.06,14.10,14.80,19.45
81.50,2.35,13.94,13.90,15.00,19.59
82.10,1.87,14.44,14.10,15.10,19.75
83.40,1.28,15.32,14.60,15.40,20.22
85.70,0.13,16.13,14.90,15.30,20.22
90.90,1.36,15.70,15.90,15.40,20.65
83.20,1.45,14.41,14.00,14.80,19.42
87.40,1.60,15.60,15.50,15.60,20.72
82.00,2.45,13.77,13.90,14.90,19.49
90.80,0.94,16.12,16.00,15.50,20.78
93.20,1.64,15.37,16.10,15.20,20.51
88.60,2.19,14.85,15.40,15.30,20.38
80.10,1.85,19.51,17.60,19.00,24.81
77.70,2.67,19.04,17.30,19.20,24.91
78.60,2.30,19.50,17.60,19.30,25.11
80.80,1.55,20.19,18.10,19.30,25.27
83.70,0.04,21.18,18.50,19.10,25.21
88.90,1.46,20.85,19.90,19.30,25.87
80.50,1.41,19.85,17.70,19.00,24.84
83.60,1.50,20.99,19.20,19.70,26.04
80.60,2.56,18.92,17.60,18.90,24.71
87.10,0.90,21.11,19.50,19.30,25.74
88.20,1.51,20.48,19.50,19.10,25.54
84.40,2.20,20.00,18.90,19.30,25.54
80.40,1.91,19.90,18.00,19.30,25.24
78.00,3.11,19.43,17.90,19.70,25.61
79.30,2.76,19.77,18.20,19.70,25.71
80.10,1.84,20.62,18.50,19.80,25.91
83.70,0.37,21.64,19.10,19.60,25.90
88.40,1.85,21.10,20.30,19.70,26.40
80.30,1.77,20.27,18.20,19.50,25.51
84.10,1.80,21.37,19.80,20.10,26.63
81.30,2.93,19.26,18.20,19.30,25.31
87.10,0.47,21.97,20.00,19.70,26.30
88.10,1.27,21.34,20.10,19.60,26.23
84.90,2.26,20.55,19.50,19.70,26.14
76.10,3.18,19.78,17.90,20.10,26.01
73.40,5.19,18.58,17.60,20.40,26.21
74.70,4.55,19.12,17.90,20.40,26.31
76.20,2.80,20.75,18.50,20.60,26.71
81.00,1.53,21.60,19.30,20.30,26.67
84.60,3.52,20.77,20.40,20.50,27.23
74.70,3.30,20.00,17.90,20.40,26.31
80.20,3.32,20.98,19.70,20.80,27.30
78.70,4.63,18.83,18.40,20.00,26.07
83.80,0.52,22.67,20.10,20.40,27.03
84.70,1.09,22.34,20.30,20.40,27.10
81.80,3.21,20.62,19.60,20.40,26.87
72.80,5.09,16.45,15.80,18.80,24.01
71.00,8.01,14.67,15.70,19.10,24.28
71.90,6.95,15.62,16.00,19.20,24.48
75.00,4.06,17.87,16.70,19.20,24.71
78.70,2.75,18.92,17.40,19.10,24.84
82.50,5.82,17.46,18.60,19.40,25.54
71.90,5.24,16.95,16.10,19.30,24.61
77.00,5.20,18.17,17.90,19.90,25.81
76.50,6.84,15.62,16.70,18.90,24.41
82.60,1.42,20.41,18.50,19.30,25.41
82.50,1.07,20.79,18.60,19.40,25.54
80.00,4.61,17.71,17.70,19.10,24.94
78.20,5.90,12.82,14.40,16.20,20.95
77.30,9.17,11.00,14.60,16.60,21.42
76.80,7.78,12.21,14.70,16.80,21.65
77.90,4.28,15.12,15.20,17.10,22.12
82.60,3.71,15.55,15.90,16.90,22.15
88.70,7.09,13.98,17.40,17.20,22.94
80.50,6.51,13.46,15.50,16.90,22.02
85.00,6.29,14.71,17.00,17.50,23.11
83.60,7.87,12.04,15.60,16.40,21.55
88.80,2.50,16.79,17.10,16.90,22.54
88.70,0.08,18.75,17.30,17.10,22.81
85.20,4.17,15.39,16.40,16.90,22.31
83.00,6.53,14.54,16.70,17.60,23.11
80.90,9.99,12.52,16.70,18.00,23.51
80.80,8.14,14.21,17.00,18.30,23.91
80.20,4.04,17.45,17.20,18.60,24.28
86.00,4.73,16.96,18.10,18.30,24.27
93.40,8.15,15.36,19.90,18.50,25.07
87.10,7.78,14.63,18.10,18.10,24.07
89.90,7.34,15.96,19.40,18.70,25.10
88.40,8.66,13.55,17.90,17.70,23.61
89.30,3.71,18.04,18.90,18.40,24.64
90.20,1.21,19.86,19.10,18.40,24.70
88.90,3.17,18.25,18.70,18.30,24.47
84.60,6.77,21.09,22.80,22.30,29.82
80.90,10.30,19.15,22.60,22.90,30.36
81.60,7.92,21.31,23.20,23.20,30.86
80.60,3.29,25.05,23.50,23.60,31.36
85.30,5.60,23.43,24.40,23.30,31.35
93.40,8.83,21.63,26.40,23.10,31.81
89.00,8.86,20.75,24.70,22.80,30.95
89.80,8.10,22.11,25.70,23.30,31.78
89.30,9.05,20.05,24.20,22.40,30.39
87.90,4.72,24.15,25.00,23.20,31.45
89.10,2.47,25.69,25.20,23.10,31.42
88.40,1.75,26.13,25.00,23.10,31.35
78.70,6.92,25.74,26.30,25.90,34.58
75.20,10.64,23.80,26.20,26.60,35.25
76.70,7.80,26.12,26.90,26.70,35.58
76.50,2.57,30.21,27.30,27.00,36.01
81.40,6.23,27.45,28.20,26.50,35.81
87.40,9.44,25.73,30.10,26.40,36.33
83.80,9.67,25.00,28.70,26.30,35.77
84.20,8.60,26.58,29.70,26.80,36.60
84.00,9.30,24.66,28.10,25.90,35.17
83.80,5.31,28.52,29.20,26.60,36.24
84.20,3.25,29.70,29.00,26.40,35.97
80.80,0.80,31.65,28.50,26.80,36.21
78.80,6.84,25.96,26.50,26.00,34.75
75.80,10.77,23.77,26.40,26.60,35.31
76.30,7.51,26.42,26.90,26.80,35.68
76.90,1.80,30.95,27.60,27.10,36.21
81.60,6.73,27.43,28.60,26.70,36.14
87.50,9.86,25.60,30.30,26.50,36.50
83.10,10.23,24.84,28.80,26.50,36.00
84.60,8.85,26.61,30.00,26.90,36.80
85.00,9.46,24.82,28.60,26.00,35.44
84.70,5.69,28.52,29.70,26.70,36.50
85.50,3.87,29.56,29.60,26.50,36.27
81.10,0.06,32.20,28.60,26.80,36.24
78.40,6.59,26.70,27.00,26.40,35.31
75.40,10.64,24.43,26.90,27.00,35.88
76.40,7.08,27.19,27.40,27.10,36.14
76.60,0.98,32.25,28.30,27.60,36.94
82.20,7.18,27.81,29.50,27.10,36.84
87.10,10.16,25.99,30.90,26.90,37.10
82.90,10.59,25.19,29.40,26.90,36.60
84.80,8.88,27.25,30.80,27.30,37.46
85.70,9.55,25.45,29.50,26.40,36.14
85.50,5.94,28.91,30.50,27.00,37.07
86.00,4.39,29.89,30.50,26.90,36.97
80.90,0.53,32.47,29.20,27.20,36.84
74.80,6.18,26.42,25.60,26.30,34.75
72.30,10.31,24.30,25.80,27.00,35.51
73.30,6.49,27.54,26.60,27.30,36.08
73.70,0.15,32.64,27.40,27.70,36.74
81.30,7.59,27.72,29.50,27.30,37.04
84.80,10.35,26.05,30.60,27.20,37.30
79.00,10.72,25.27,28.70,27.30,36.77
80.70,8.82,27.43,30.00,27.70,37.60
82.70,9.60,25.38,28.80,26.60,36.10
83.90,6.13,28.74,30.10,27.10,37.03
84.20,4.85,29.21,29.70,26.80,36.60
78.80,0.98,31.59,28.10,27.00,36.27
78.10,0.32,29.69,25.50,25.50,33.92
78.10,0.11,29.54,25.20,25.30,33.62
82.30,0.42,29.62,26.40,25.20,33.91
82.80,0.70,29.62,26.70,25.30,34.11
84.50,0.37,29.12,26.30,24.70,33.38
83.20,1.20,28.11,25.60,24.50,32.95
80.90,2.38,25.42,23.30,23.40,31.09
84.00,2.09,28.02,26.30,24.80,33.48
79.50,2.70,27.13,24.90,24.80,33.02
81.10,2.27,29.72,27.60,26.20,35.31
84.60,1.64,30.09,28.30,25.90,35.24
82.60,2.08,29.25,27.30,25.70,34.71
78.00,1.03,29.03,25.30,25.40,33.75
78.10,0.55,28.93,24.90,25.10,33.32
82.40,0.60,29.19,26.10,25.00,33.61
83.60,0.63,29.30,26.50,25.00,33.75
84.90,0.58,28.71,26.10,24.50,33.11
84.40,1.51,27.56,25.50,24.20,32.62
82.60,2.73,25.04,23.50,23.20,30.96
84.00,2.39,27.51,26.00,24.60,33.18
79.80,2.87,26.74,24.70,24.60,32.75
82.00,1.85,29.65,27.40,25.90,34.94
85.80,1.81,29.47,28.00,25.50,34.74
82.70,2.24,28.84,27.00,25.50,34.41
78.20,1.62,27.15,23.90,24.40,32.29
76.90,0.93,27.50,23.50,24.40,32.16
80.80,0.73,28.04,24.70,24.40,32.55
82.40,0.59,28.30,25.20,24.40,32.72
83.90,0.68,27.64,24.90,23.90,32.12
83.20,1.64,26.60,24.40,23.70,31.75
81.90,2.73,24.25,22.60,22.70,30.16
83.20,2.41,26.36,24.70,23.90,32.05
79.00,2.76,25.56,23.30,23.80,31.49
82.00,1.44,28.57,26.00,25.00,33.58
86.30,1.89,28.09,26.70,24.60,33.41
83.10,2.27,27.49,25.70,24.60,33.08
80.50,1.73,19.76,17.80,19.10,24.97
79.60,1.11,20.00,17.50,19.00,24.78
82.70,0.74,20.62,18.30,19.10,25.14
84.00,0.50,21.15,18.80,19.30,25.50
84.60,0.60,20.85,18.70,19.10,25.27
84.20,1.41,20.12,18.50,19.00,25.11
81.40,2.20,18.00,16.80,18.00,23.54
83.70,2.03,19.78,18.50,19.10,25.21
77.80,2.30,18.90,17.00,18.90,24.51
84.70,0.98,21.85,19.80,20.00,26.53
90.50,1.66,20.97,20.40,19.40,26.13
88.10,1.94,20.31,19.60,19.20,25.67
76.60,1.53,22.63,19.40,21.30,27.70
75.40,1.16,22.66,19.00,21.20,27.47
77.30,0.75,23.38,19.70,21.40,27.90
79.20,0.47,23.74,20.20,21.40,28.07
80.30,0.52,23.37,20.10,21.10,27.73
78.40,1.17,23.18,20.00,21.40,28.00
72.40,1.72,21.47,17.80,20.80,26.67
72.70,1.68,22.89,19.00,21.80,28.07
69.80,1.99,22.01,17.90,21.50,27.41
78.40,0.71,24.63,21.00,22.20,29.13
84.90,1.40,23.85,21.90,21.60,28.83
83.40,1.68,22.95,21.00,21.20,28.13
73.40,1.71,26.03,21.90,24.00,31.23
71.70,1.39,26.09,21.40,24.00,31.06
71.10,0.91,27.22,22.00,24.60,31.86
75.60,0.52,27.23,22.70,24.10,31.59
76.60,0.49,26.92,22.60,23.80,31.26
73.30,1.19,26.96,22.40,24.40,31.79
65.20,1.67,25.53,19.70,24.20,30.70
65.10,1.67,27.06,21.00,25.30,32.23
64.90,2.01,25.96,20.20,24.70,31.37
75.90,0.63,27.91,23.50,24.60,32.36
82.20,1.42,26.96,24.40,23.90,31.95
80.00,1.70,26.40,23.60,23.80,31.59
73.70,1.99,26.73,22.80,24.60,32.12
72.10,1.81,26.69,22.30,24.60,31.96
71.80,1.24,27.79,22.90,25.10,32.66
77.00,0.74,27.80,23.70,24.50,32.32
78.00,0.43,27.82,23.70,24.30,32.12
74.20,1.28,27.86,23.50,25.00,32.76
63.90,1.66,26.80,20.50,25.20,31.97
64.10,1.69,28.08,21.70,26.10,33.26
65.70,2.14,26.80,21.20,25.30,32.30
78.90,0.70,28.46,24.70,24.80,32.95
83.90,1.54,27.64,25.50,24.30,32.72
80.60,1.90,27.06,24.50,24.30,32.39
79.20,2.28,21.91,19.70,21.00,27.50
77.50,2.39,21.83,19.40,21.10,27.50
78.60,1.75,22.51,19.80,21.20,27.73
82.80,1.15,22.99,20.60,21.00,27.80
83.50,0.31,23.78,20.90,21.10,28.00
84.50,1.39,23.39,21.40,21.30,28.36
74.30,1.63,22.10,18.60,21.10,27.24
75.80,1.66,23.17,19.80,21.80,28.33
75.90,2.31,21.75,19.00,21.10,27.37
86.30,0.92,23.58,21.60,21.10,28.23
90.10,1.74,22.74,22.00,20.70,27.96
86.70,2.27,22.24,21.30,20.80,27.83
76.60,2.21,7.92,9.60,10.30,13.47
74.50,2.70,7.61,9.40,10.40,13.50
74.10,2.07,8.52,9.60,10.80,13.97
75.70,1.42,9.41,10.00,11.10,14.40
78.20,0.15,10.53,10.40,11.20,14.63
86.30,1.38,9.90,11.40,11.10,14.86
73.70,1.51,8.41,9.30,10.40,13.47
82.10,1.50,9.38,10.70,10.90,14.43
75.30,2.30,7.93,9.50,10.40,13.54
86.80,1.02,10.05,11.40,11.00,14.76
88.20,1.73,9.48,11.50,10.90,14.70
84.50,2.37,8.51,10.80,10.60,14.16
82.70,2.06,13.18,13.40,14.20,18.62
79.30,2.85,12.83,13.10,14.50,18.82
81.20,2.41,13.37,13.50,14.60,19.06
80.90,1.72,14.22,13.70,14.90,19.42
84.30,0.23,15.33,14.20,14.80,19.49
89.70,1.60,14.93,15.30,15.00,20.05
79.40,1.61,13.83,13.20,14.60,18.96
86.80,1.50,14.83,14.80,15.00,19.88
83.40,2.42,13.09,13.60,14.30,18.79
92.10,0.86,15.18,15.40,14.70,19.78
92.70,1.54,14.74,15.50,14.70,19.82
89.60,2.30,13.77,14.80,14.50,19.38
79.70,2.51,14.90,14.40,15.90,20.65
77.60,3.83,14.11,14.20,16.10,20.79
78.80,3.57,14.62,14.60,16.30,21.12
79.40,2.45,15.70,14.90,16.50,21.42
83.10,0.73,17.14,15.60,16.50,21.65
86.80,2.60,16.33,16.50,16.70,22.15
76.70,2.36,15.47,14.30,16.40,21.12
85.20,2.10,16.58,16.20,16.70,22.05
82.00,3.23,14.79,15.00,16.10,21.05
90.10,0.43,17.64,16.80,16.40,21.94
91.10,1.44,17.14,17.10,16.50,22.14
87.40,2.80,15.55,16.10,16.20,21.51
76.50,4.28,15.55,15.30,17.50,22.55
75.50,6.64,14.10,15.30,17.70,22.75
77.00,6.16,14.67,15.70,17.80,22.98
78.00,3.85,16.62,16.10,18.00,23.31
81.90,1.79,18.06,16.70,17.80,23.31
85.20,4.80,16.71,17.80,18.20,24.07
75.60,4.11,16.27,15.60,18.00,23.15
81.70,3.73,17.63,17.40,18.50,24.24
80.50,5.23,15.29,16.20,17.60,22.95
88.30,0.28,19.54,18.00,17.80,23.74
87.60,1.62,18.97,18.20,18.10,24.11
84.40,4.50,16.19,17.10,17.70,23.34
79.40,5.63,15.60,16.50,18.10,23.55
77.90,8.79,13.83,16.60,18.50,23.98
79.30,7.78,14.63,16.90,18.50,24.08
80.20,4.38,17.34,17.30,18.70,24.41
83.50,3.24,18.37,18.00,18.70,24.64
87.30,6.62,16.84,19.30,19.10,25.47
79.70,6.04,16.28,17.30,18.80,24.51
84.90,5.59,17.52,18.90,19.20,25.44
84.10,7.11,15.30,17.80,18.40,24.27
89.10,1.86,19.60,19.10,18.60,24.90
88.90,0.55,20.78,19.30,18.80,25.17
86.40,4.57,17.37,18.40,18.50,24.57
85.90,6.29,20.22,21.90,21.40,28.63
82.30,9.84,18.44,21.90,22.10,29.33
81.80,8.22,20.11,22.30,22.50,29.86
82.30,4.06,23.35,22.70,22.70,30.19
86.40,4.57,23.22,23.70,22.60,30.42
92.10,7.87,21.27,25.10,22.50,30.78
87.70,7.61,20.33,23.20,22.00,29.66
89.90,7.08,21.63,24.50,22.50,30.59
90.70,8.29,19.52,23.40,21.60,29.32
90.80,3.45,23.80,24.30,22.20,30.22
91.50,0.94,25.63,24.50,22.20,30.29
90.20,3.51,23.56,24.00,22.10,30.02
79.10,6.49,25.94,26.30,25.80,34.48
75.30,10.15,24.01,26.10,26.50,35.11
76.50,7.91,26.01,26.80,26.70,35.54
77.00,3.17,29.69,27.30,26.90,35.91
82.00,5.67,27.90,28.40,26.50,35.87
86.90,8.71,26.34,30.10,26.50,36.43
82.70,8.87,25.43,28.30,26.30,35.64
84.90,8.16,26.49,29.40,26.50,36.20
84.70,8.90,24.71,28.00,25.70,34.94
84.70,4.78,28.52,29.00,26.30,35.87
86.10,2.42,30.18,29.30,26.20,35.87
84.30,1.90,30.34,28.70,26.20,35.67
76.00,6.71,26.95,26.80,26.80,35.64
72.50,10.53,25.07,26.80,27.60,36.44
72.60,7.80,27.45,27.30,27.90,36.91
74.50,2.44,31.43,28.00,27.90,37.14
80.40,6.37,28.48,29.20,27.30,36.94
85.90,9.49,26.79,31.00,27.20,37.43
81.90,9.78,25.96,29.40,27.10,36.80
83.30,8.75,27.47,30.60,27.50,37.60
84.00,9.24,25.64,29.10,26.50,36.10
84.70,5.39,29.19,30.20,27.00,36.97
85.20,3.15,30.66,30.20,26.90,36.87
80.40,1.01,32.23,29.20,27.30,36.94
75.90,6.76,27.05,26.90,26.90,35.78
72.40,10.74,25.06,26.90,27.70,36.58
72.40,7.58,27.74,27.40,28.00,37.04
74.60,1.66,32.14,28.20,28.00,37.31
79.80,6.91,28.33,29.30,27.50,37.17
85.60,10.01,26.39,30.90,27.20,37.40
81.70,10.37,25.68,29.50,27.20,36.94
82.60,9.01,27.52,30.70,27.70,37.83
83.60,9.43,25.77,29.30,26.70,36.37
85.50,5.75,29.04,30.50,27.00,37.07
85.50,3.69,30.48,30.50,27.00,37.07
80.40,0.35,32.69,29.20,27.30,36.94
73.60,6.64,26.87,26.10,26.90,35.51
71.30,10.71,24.65,26.20,27.50,36.15
72.00,7.21,27.63,26.90,27.80,36.68
73.90,0.85,32.48,27.80,27.90,37.07
79.90,7.34,27.73,29.00,27.30,36.87
84.90,10.33,25.77,30.30,27.00,37.00
80.50,10.72,25.13,28.90,27.10,36.64
82.70,9.01,27.06,30.20,27.40,37.37
83.70,9.48,25.43,29.00,26.50,36.07
85.40,5.97,28.55,30.10,26.80,36.73
85.10,4.16,29.79,30.00,26.80,36.70
80.00,0.20,32.43,28.70,27.10,36.57
75.80,6.31,26.30,25.80,26.20,34.71
73.60,10.41,23.93,25.80,26.70,35.21
73.70,6.64,27.03,26.30,27.00,35.68
75.60,0.04,32.18,27.30,27.20,36.21
82.20,7.68,26.83,28.80,26.70,36.20
86.60,10.48,25.06,30.00,26.50,36.40
82.10,10.82,24.46,28.60,26.60,36.04
83.60,8.88,26.78,30.00,27.10,37.00
85.40,9.47,25.01,28.90,26.10,35.64
86.00,6.08,28.08,29.80,26.50,36.33
86.80,4.56,29.08,29.90,26.40,36.27
81.80,0.60,31.59,28.50,26.60,36.01
77.40,5.78,27.00,26.50,26.30,35.05
74.20,9.95,24.61,26.30,26.90,35.58
75.10,6.00,27.64,26.80,27.00,35.84
76.50,0.76,32.24,28.10,27.50,36.77
82.40,8.06,27.53,29.90,27.30,37.17
86.90,10.51,26.04,31.20,27.10,37.40
82.50,10.82,25.29,29.60,27.10,36.87
83.70,8.80,27.80,31.10,27.70,37.96
85.40,9.47,26.10,30.10,26.80,36.73
86.10,6.21,28.95,30.90,27.10,37.30
86.30,4.91,29.73,30.80,27.00,37.16
81.00,0.93,32.35,29.40,27.30,37.00
80.00,5.09,27.02,26.60,25.80,34.58
77.00,9.38,24.28,26.20,26.20,34.85
78.20,5.37,27.22,26.60,26.20,34.98
79.30,1.48,31.30,28.30,27.00,36.34
83.20,8.49,27.49,30.40,27.40,37.43
86.50,10.48,26.49,31.60,27.40,37.83
82.80,10.75,25.54,29.90,27.20,37.07
84.50,8.72,27.96,31.40,27.70,38.06
85.50,9.44,26.46,30.50,27.00,37.07
85.70,6.30,29.32,31.30,27.40,37.73
86.20,5.13,29.87,31.10,27.20,37.46
82.10,1.18,31.84,29.30,27.00,36.67
77.50,0.14,30.05,25.60,25.70,34.15
76.30,0.28,29.52,24.90,25.50,33.72
81.60,0.47,29.82,26.50,25.40,34.15
83.10,0.71,29.65,26.80,25.30,34.14
84.90,0.44,29.27,26.60,24.80,33.58
83.90,1.42,28.02,25.80,24.50,33.01
82.00,2.93,25.14,23.60,23.40,31.19
84.50,2.52,27.62,26.30,24.70,33.38
80.50,3.05,26.98,25.20,24.80,33.12
81.40,2.45,29.63,27.70,26.20,35.34
85.20,1.79,30.05,28.50,25.90,35.31
83.10,2.35,28.96,27.30,25.60,34.61
77.80,1.04,29.15,25.40,25.50,33.88
76.40,0.79,29.03,24.80,25.40,33.58
81.20,0.73,29.44,26.20,25.30,33.95
83.70,0.69,29.43,26.70,25.10,33.91
85.10,0.70,28.96,26.50,24.70,33.45
83.90,1.80,27.75,25.80,24.50,33.01
83.00,3.34,24.95,23.90,23.40,31.29
84.70,2.95,27.18,26.20,24.60,33.25
81.10,3.34,26.55,25.10,24.60,32.88
82.60,2.04,29.58,27.60,25.90,35.01
86.20,2.07,29.49,28.30,25.60,34.94
83.80,2.64,28.53,27.20,25.40,34.38
77.20,1.57,28.72,25.20,25.50,33.82
75.80,1.05,28.78,24.60,25.40,33.52
79.30,0.83,29.47,25.90,25.50,34.05
82.40,0.66,29.62,26.60,25.30,34.08
85.10,0.78,28.90,26.50,24.70,33.45
83.90,1.88,27.70,25.80,24.50,33.01
82.70,3.23,25.29,24.10,23.60,31.55
84.30,2.88,27.20,26.10,24.60,33.21
80.60,3.18,26.46,24.80,24.50,32.68
82.90,1.66,29.58,27.40,25.70,34.74
85.80,2.09,29.28,28.00,25.50,34.74
83.20,2.62,28.48,27.00,25.40,34.31
76.90,1.87,27.15,23.80,24.60,32.45
75.00,1.22,27.40,23.20,24.60,32.26
77.90,0.82,28.28,24.40,24.80,32.85
81.40,0.56,28.52,25.20,24.60,32.92
83.20,0.71,27.85,25.00,24.10,32.35
82.40,1.63,26.98,24.60,24.00,32.12
80.20,2.59,24.91,22.80,23.20,30.72
80.80,2.37,26.59,24.40,24.20,32.25
77.30,2.61,25.93,23.20,24.10,31.76
81.90,1.16,28.60,25.80,24.90,33.41
85.60,1.88,28.03,26.50,24.60,33.35
83.40,2.26,27.23,25.50,24.40,32.82
80.70,1.93,18.96,17.30,18.60,24.31
77.40,1.48,19.18,16.70,18.70,24.21
80.20,0.98,19.86,17.40,18.80,24.54
84.40,0.59,20.29,18.20,18.70,24.71
85.40,0.70,20.02,18.20,18.50,24.51
84.50,1.51,19.38,18.00,18.50,24.44
81.50,2.27,17.56,16.50,17.70,23.15
83.00,2.18,18.95,17.80,18.60,24.47
77.90,2.44,18.27,16.60,18.50,23.98
86.40,0.93,20.75,19.10,19.10,25.40
91.30,1.81,19.93,19.70,18.70,25.20
88.70,2.19,19.20,18.90,18.50,24.74
78.80,1.99,20.28,18.10,19.70,25.67
74.90,1.68,20.33,17.30,19.80,25.51
76.50,1.08,21.15,17.90,20.00,25.91
81.80,0.62,21.60,18.90,19.80,26.04
81.90,0.65,21.45,18.80,19.70,25.90
81.40,1.46,20.98,18.80,19.80,26.00
75.00,2.05,19.28,16.70,19.20,24.71
77.40,2.02,20.56,18.10,20.00,25.97
74.00,2.30,19.83,17.10,19.80,25.44
